2024-02-02 16:25:17 configure openmediavault-compose:all 6.11.3 <none>
2024-02-02 16:25:17 status unpacked openmediavault-compose:all 6.11.3
2024-02-02 16:25:17 status half-configured openmediavault-compose:all 6.11.3
2024-02-02 16:25:17 status triggers-awaited openmediavault-compose:all 6.11.3
2024-02-02 16:25:17 status triggers-pending openmediavault:all 6.9.12-3
2024-02-02 16:25:17 trigproc openmediavault:all 6.9.12-3 <none>
2024-02-02 16:25:17 status half-configured openmediavault:all 6.9.12-3
2024-02-02 16:25:17 status installed openmediavault-compose:all 6.11.3
2024-02-02 16:25:18 status installed openmediavault:all 6.9.12-3
2024-02-02 16:28:07 startup packages remove
2024-02-02 16:28:07 status installed openmediavault-compose:all 6.11.3
2024-02-02 16:28:07 remove openmediavault-compose:all 6.11.3 <none>
2024-02-02 16:28:07 status triggers-pending openmediavault:all 6.9.12-3
2024-02-02 16:28:07 status triggers-awaited openmediavault-compose:all 6.11.3
2024-02-02 16:28:07 status half-configured openmediavault-compose:all 6.11.3
2024-02-02 16:28:07 status half-installed openmediavault-compose:all 6.11.3
2024-02-02 16:28:07 status config-files openmediavault-compose:all 6.11.3
2024-02-02 16:28:07 status installed openmediavault-sharerootfs:all 6.0.3-1
2024-02-02 16:28:07 remove openmediavault-sharerootfs:all 6.0.3-1 <none>
2024-02-02 16:28:07 status half-configured openmediavault-sharerootfs:all 6.0.3-1
2024-02-02 16:28:08 status half-installed openmediavault-sharerootfs:all 6.0.3-1
2024-02-02 16:28:08 status config-files openmediavault-sharerootfs:all 6.0.3-1
2024-02-02 16:28:08 status installed python3-docker:all 4.1.0-1.2
2024-02-02 16:28:08 remove python3-docker:all 4.1.0-1.2 <none>
2024-02-02 16:28:08 status half-configured python3-docker:all 4.1.0-1.2
2024-02-02 16:28:08 status half-installed python3-docker:all 4.1.0-1.2
2024-02-02 16:28:08 status config-files python3-docker:all 4.1.0-1.2
2024-02-02 16:28:08 status not-installed python3-docker:all <none>
2024-02-02 16:28:08 status installed python3-distutils:all 3.9.2-1
2024-02-02 16:28:08 remove python3-distutils:all 3.9.2-1 <none>
2024-02-02 16:28:08 status half-configured python3-distutils:all 3.9.2-1
2024-02-02 16:28:08 status half-installed python3-distutils:all 3.9.2-1
2024-02-02 16:28:08 status config-files python3-distutils:all 3.9.2-1
2024-02-02 16:28:08 status not-installed python3-distutils:all <none>
2024-02-02 16:28:08 status installed python3-lib2to3:all 3.9.2-1
2024-02-02 16:28:08 remove python3-lib2to3:all 3.9.2-1 <none>
2024-02-02 16:28:08 status half-configured python3-lib2to3:all 3.9.2-1
2024-02-02 16:28:08 status half-installed python3-lib2to3:all 3.9.2-1
2024-02-02 16:28:08 status config-files python3-lib2to3:all 3.9.2-1
2024-02-02 16:28:08 status not-installed python3-lib2to3:all <none>
2024-02-02 16:28:08 status installed python3-pretty-yaml:all 20.4.0-1
2024-02-02 16:28:08 remove python3-pretty-yaml:all 20.4.0-1 <none>
2024-02-02 16:28:08 status half-configured python3-pretty-yaml:all 20.4.0-1
2024-02-02 16:28:08 status half-installed python3-pretty-yaml:all 20.4.0-1
2024-02-02 16:28:08 status config-files python3-pretty-yaml:all 20.4.0-1
2024-02-02 16:28:08 status not-installed python3-pretty-yaml:all <none>
2024-02-02 16:28:08 status installed python3-unidecode:all 1.2.0-1
2024-02-02 16:28:08 remove python3-unidecode:all 1.2.0-1 <none>
2024-02-02 16:28:08 status half-configured python3-unidecode:all 1.2.0-1
2024-02-02 16:28:08 status half-installed python3-unidecode:all 1.2.0-1
2024-02-02 16:28:08 status config-files python3-unidecode:all 1.2.0-1
2024-02-02 16:28:08 status not-installed python3-unidecode:all <none>
2024-02-02 16:28:08 status installed python3-websocket:all 0.57.0-1
